time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.021168,1.422655,-3.584547,-10.861235
0.055176,1.011437,-3.190837,-9.467311
0.088452,0.994976,-3.200863,-8.616591
0.121554,1.459917,-3.667449,-8.360701
0.155125,1.364444,-3.411560,-8.560025
0.188447,1.413078,-3.297083,-8.177089
0.221787,1.464107,-3.198618,-8.912584
0.255111,1.597887,-3.344520,-8.930392
0.288448,0.895164,-3.207896,-8.667918
0.321850,1.034931,-3.693188,-8.833872
0.355133,1.106909,-3.255782,-8.804243
0.387666,0.608897,-3.537709,-8.518125
0.421836,0.373060,-3.231390,-8.771621
0.455122,0.848476,-3.298280,-9.433342
0.488449,0.682671,-3.140557,-9.119540
0.521969,0.101308,-2.764354,-9.888256
0.555131,-0.073475,-2.910555,-9.197056
0.588392,-0.383385,-3.030719,-7.730405
0.624320,-0.021249,-3.013659,-8.737502
0.655124,0.793407,-3.325366,-8.109750
0.688442,1.701440,-3.636623,-8.367585
0.721808,2.603488,-4.090490,-9.859076
0.755124,0.925841,-2.729787,-8.794067
0.788449,0.769015,-2.870301,-9.335924
0.821868,1.125614,-2.674269,-9.807748
0.855119,0.155030,-2.523130,-9.741756
0.888431,-0.676236,-1.977232,-10.125889
0.922041,1.000962,-4.235644,-9.059085
0.955118,0.088589,-2.379323,-10.215675
0.988441,0.354953,-2.491854,-10.114816
1.021781,0.781286,-3.642309,-9.673219
1.055130,-0.298987,-2.859976,-9.543629
1.088433,-0.194685,-2.843366,-9.470752
1.121777,-0.388922,-2.807451,-9.391591
1.155133,0.208303,-3.381631,-9.244343
1.188178,0.114327,-3.207148,-9.144830
1.221826,0.302428,-3.630338,-9.135852
1.255221,0.407927,-3.690195,-9.177752
1.288439,0.454615,-3.920346,-8.221234
1.321784,-0.166403,-3.960450,-8.445399
1.355152,-0.061952,-3.540103,-7.896808
1.388438,0.436957,-4.393816,-7.963399
1.421858,0.077066,-3.750052,-8.636343
1.455169,0.262474,-3.896104,-8.562719
1.488429,0.114776,-4.134934,-8.628861
1.521734,0.441447,-4.104407,-8.130550
1.555066,-0.517016,-3.835798,-8.494632
1.588348,-0.295545,-4.409229,-9.144980
1.621701,0.529736,-4.510687,-8.385542
1.654533,0.097118,-4.428533,-9.463420
1.688394,0.123605,-3.857346,-9.197654
1.721790,0.386528,-4.464448,-9.496042
1.754510,0.084249,-3.794646,-9.962928
1.788440,-0.152037,-4.791866,-9.203341
1.821849,-0.646906,-4.574286,-8.721041
1.855145,-0.022446,-4.622471,-8.800352
1.888460,-0.501005,-4.280088,-9.140042
1.921773,-0.936615,-4.113236,-7.952026
1.955106,-0.808521,-4.259437,-7.432017
1.988542,-1.392727,-4.325429,-8.217493
2.022008,-2.014194,-4.117276,-7.949333
2.055085,-2.145581,-4.239235,-7.740581
2.088447,-1.923062,-4.076424,-8.194597
2.121797,-1.959724,-3.751549,-7.857751
2.155153,-1.926803,-3.158963,-7.522551
2.188506,-1.684980,-2.387104,-7.263968
2.221796,-2.179849,-2.300910,-7.011221
2.255117,-2.357176,-1.526208,-7.098912
2.288497,-2.679656,-0.672645,-7.011221
2.321939,-4.328722,-0.578969,-5.862711
2.355175,-5.715612,-0.776348,-5.999784
2.389382,-7.835305,-0.107893,-6.115907
2.421775,-9.314076,0.378297,-6.079245
2.455177,-10.296333,-0.364680,-5.478279
2.488505,-11.222473,0.068088,-4.854866
2.521756,-12.906854,0.403587,-4.395013
2.555018,-11.948540,0.588546,-3.067531
2.587667,-10.788957,1.682735,-3.231390
2.621698,-11.145107,2.244644,-3.165697
2.655007,-11.531186,2.674718,-2.316473
2.688473,-12.092796,3.686155,-1.975586
2.721797,-11.383638,4.139124,-0.775001
2.754669,-11.285323,4.219632,0.294348
2.788359,-9.689231,4.560219,4.310764
